dataset,formula_id,formula_name,formula_label,formula_rhs,site_branch,interaction_branch,model_family,fit_engine,flexsurv_dist,model_class,model_id,strategy_family,anchor_horizon_year,tail_extrapolation_capable_flag,extrapolation_role,stage,validation_level,optimism_correction_method,analysis_time_variable,reporting_time_variable,event_definition,censoring_definition,time_range_score_type,time_range_discrimination_upper_time_year,converged,convergence_code,error_message,n_obs,n_event,n_parameter,logLik,AIC,BIC,last_event_time_year,last_followup_time_year,extrapolation_rule
SNU,SNU__base,base,Base,age_s + sex_num,site_free,no_age_sex_interaction,lognormal,flexsurv,lnorm,non_cure,SNU__base__lognormal,lognormal,2,1,parametric_tail_extrapolator,Stage 5,apparent,none,days_followup,time_year,status_num == 1,"status_num %in% c(0, 2)",anchor_risk_year_2,2,TRUE,0,NA,208,38,4,-147.1443134470771,302.2886268941542,315.6387792129595,7.572895277207392,10.105407255304586,parametric_extrapolation
SNU,SNU__base,base,Base,age_s + sex_num,site_free,no_age_sex_interaction,weibull,flexsurv,weibull,non_cure,SNU__base__weibull,weibull,2,1,parametric_tail_extrapolator,Stage 5,apparent,none,days_followup,time_year,status_num == 1,"status_num %in% c(0, 2)",anchor_risk_year_2,2,TRUE,0,NA,208,38,4,-147.3811643150925,302.762328630185,316.11248094899025,7.572895277207392,10.105407255304586,parametric_extrapolation
SNU,SNU__interaction,interaction,Interaction,age_s + sex_num + age_s:sex_num,site_free,age_sex_interaction,coxph,survival,NA,non_cure,SNU__interaction__coxph,coxph,2,0,observed_window_comparator,Stage 5,apparent,none,days_followup,time_year,status_num == 1,"status_num %in% c(0, 2)",anchor_risk_year_2,2,TRUE,0,NA,208,38,3,-182.47231543499402,370.94463086998803,380.957245109092,7.572895277207392,10.105407255304586,baseline_carried_forward_after_last_event
SNU,SNU__interaction,interaction,Interaction,age_s + sex_num + age_s:sex_num,site_free,age_sex_interaction,exponential,flexsurv,exp,non_cure,SNU__interaction__exponential,exponential,2,1,parametric_tail_extrapolator,Stage 5,apparent,none,days_followup,time_year,status_num == 1,"status_num %in% c(0, 2)",anchor_risk_year_2,2,TRUE,0,NA,208,38,4,-149.60604280253062,307.21208560506125,320.5622379238665,7.572895277207392,10.105407255304586,parametric_extrapolation
SNU,SNU__interaction,interaction,Interaction,age_s + sex_num + age_s:sex_num,site_free,age_sex_interaction,loglogistic,flexsurv,llogis,non_cure,SNU__interaction__loglogistic,loglogistic,2,1,parametric_tail_extrapolator,Stage 5,apparent,none,days_followup,time_year,status_num == 1,"status_num %in% c(0, 2)",anchor_risk_year_2,2,TRUE,0,NA,208,38,5,-146.60253263800942,303.20506527601884,319.89275567452546,7.572895277207392,10.105407255304586,parametric_extrapolation
SNU,SNU__interaction,interaction,Interaction,age_s + sex_num + age_s:sex_num,site_free,age_sex_interaction,lognormal,flexsurv,lnorm,non_cure,SNU__interaction__lognormal,lognormal,2,1,parametric_tail_extrapolator,Stage 5,apparent,none,days_followup,time_year,status_num == 1,"status_num %in% c(0, 2)",anchor_risk_year_2,2,TRUE,0,NA,208,38,5,-146.66044709869797,303.32089419739594,320.00858459590256,7.572895277207392,10.105407255304586,parametric_extrapolation
SNU,SNU__interaction,interaction,Interaction,age_s + sex_num + age_s:sex_num,site_free,age_sex_interaction,weibull,flexsurv,weibull,non_cure,SNU__interaction__weibull,weibull,2,1,parametric_tail_extrapolator,Stage 5,apparent,none,days_followup,time_year,status_num == 1,"status_num %in% c(0, 2)",anchor_risk_year_2,2,TRUE,0,NA,208,38,5,-146.55627386143178,303.11254772286355,319.80023812137017,7.572895277207392,10.105407255304586,parametric_extrapolation
merged,merged__base,base,Base,age_s + sex_num,site_free,no_age_sex_interaction,coxph,survival,NA,non_cure,merged__base__coxph,coxph,2,0,observed_window_comparator,Stage 5,apparent,none,days_followup,time_year,status_num == 1,"status_num %in% c(0, 2)",anchor_risk_year_2,2,TRUE,0,NA,262,50,2,-250.43920353762093,504.87840707524185,512.0150960827641,7.572895277207392,10.105407255304586,baseline_carried_forward_after_last_event
merged,merged__base,base,Base,age_s + sex_num,site_free,no_age_sex_interaction,exponential,flexsurv,exp,non_cure,merged__base__exponential,exponential,2,1,parametric_tail_extrapolator,Stage 5,apparent,none,days_followup,time_year,status_num == 1,"status_num %in% c(0, 2)",anchor_risk_year_2,2,TRUE,0,NA,262,50,3,-186.0243767030314,378.0487534060628,388.75378691734613,7.572895277207392,10.105407255304586,parametric_extrapolation
merged,merged__base,base,Base,age_s + sex_num,site_free,no_age_sex_interaction,loglogistic,flexsurv,llogis,non_cure,merged__base__loglogistic,loglogistic,2,1,parametric_tail_extrapolator,Stage 5,apparent,none,days_followup,time_year,status_num == 1,"status_num %in% c(0, 2)",anchor_risk_year_2,2,TRUE,0,NA,262,50,4,-178.78858021388493,365.57716042776985,379.85053844281424,7.572895277207392,10.105407255304586,parametric_extrapolation
merged,merged__base,base,Base,age_s + sex_num,site_free,no_age_sex_interaction,lognormal,flexsurv,lnorm,non_cure,merged__base__lognormal,lognormal,2,1,parametric_tail_extrapolator,Stage 5,apparent,none,days_followup,time_year,status_num == 1,"status_num %in% c(0, 2)",anchor_risk_year_2,2,TRUE,0,NA,262,50,4,-178.42396291284643,364.84792582569287,379.12130384073726,7.572895277207392,10.105407255304586,parametric_extrapolation
merged,merged__base,base,Base,age_s + sex_num,site_free,no_age_sex_interaction,weibull,flexsurv,weibull,non_cure,merged__base__weibull,weibull,2,1,parametric_tail_extrapolator,Stage 5,apparent,none,days_followup,time_year,status_num == 1,"status_num %in% c(0, 2)",anchor_risk_year_2,2,TRUE,0,NA,262,50,4,-179.0192597442112,366.0385194884224,380.3118975034668,7.572895277207392,10.105407255304586,parametric_extrapolation
merged,merged__interaction,interaction,Interaction,age_s + sex_num + age_s:sex_num,site_free,age_sex_interaction,coxph,survival,NA,non_cure,merged__interaction__coxph,coxph,2,0,observed_window_comparator,Stage 5,apparent,none,days_followup,time_year,status_num == 1,"status_num %in% c(0, 2)",anchor_risk_year_2,2,TRUE,0,NA,262,50,3,-250.2716117966371,506.5432235932742,517.2482571045575,7.572895277207392,10.105407255304586,baseline_carried_forward_after_last_event
merged,merged__interaction,interaction,Interaction,age_s + sex_num + age_s:sex_num,site_free,age_sex_interaction,exponential,flexsurv,exp,non_cure,merged__interaction__exponential,exponential,2,1,parametric_tail_extrapolator,Stage 5,apparent,none,days_followup,time_year,status_num == 1,"status_num %in% c(0, 2)",anchor_risk_year_2,2,TRUE,0,NA,262,50,4,-185.95054830092633,379.90109660185266,394.17447461689704,7.572895277207392,10.105407255304586,parametric_extrapolation
merged,merged__interaction,interaction,Interaction,age_s + sex_num + age_s:sex_num,site_free,age_sex_interaction,loglogistic,flexsurv,llogis,non_cure,merged__interaction__loglogistic,loglogistic,2,1,parametric_tail_extrapolator,Stage 5,apparent,none,days_followup,time_year,status_num == 1,"status_num %in% c(0, 2)",anchor_risk_year_2,2,TRUE,0,NA,262,50,5,-178.64246895958775,367.2849379191755,385.12666043798095,7.572895277207392,10.105407255304586,parametric_extrapolation
merged,merged__interaction,interaction,Interaction,age_s + sex_num + age_s:sex_num,site_free,age_sex_interaction,lognormal,flexsurv,lnorm,non_cure,merged__interaction__lognormal,lognormal,2,1,parametric_tail_extrapolator,Stage 5,apparent,none,days_followup,time_year,status_num == 1,"status_num %in% c(0, 2)",anchor_risk_year_2,2,TRUE,0,NA,262,50,5,-178.2899733604116,366.5799467208232,384.4216692396287,7.572895277207392,10.105407255304586,parametric_extrapolation
merged,merged__interaction,interaction,Interaction,age_s + sex_num + age_s:sex_num,site_free,age_sex_interaction,weibull,flexsurv,weibull,non_cure,merged__interaction__weibull,weibull,2,1,parametric_tail_extrapolator,Stage 5,apparent,none,days_followup,time_year,status_num == 1,"status_num %in% c(0, 2)",anchor_risk_year_2,2,TRUE,0,NA,262,50,5,-178.87588614425118,367.75177228850237,385.5934948073078,7.572895277207392,10.105407255304586,parametric_extrapolation
merged,merged__site_added,site_added,Site-added,age_s + sex_num + site,site_adjusted,no_age_sex_interaction,coxph,survival,NA,non_cure,merged__site_added__coxph,coxph,2,0,observed_window_comparator,Stage 5,apparent,none,days_followup,time_year,status_num == 1,"status_num %in% c(0, 2)",anchor_risk_year_2,2,TRUE,0,NA,262,50,3,-247.59768381998694,501.1953676399739,511.90040115125714,7.572895277207392,10.105407255304586,baseline_carried_forward_after_last_event
merged,merged__site_added,site_added,Site-added,age_s + sex_num + site,site_adjusted,no_age_sex_interaction,exponential,flexsurv,exp,non_cure,merged__site_added__exponential,exponential,2,1,parametric_tail_extrapolator,Stage 5,apparent,none,days_followup,time_year,status_num == 1,"status_num %in% c(0, 2)",anchor_risk_year_2,2,TRUE,0,NA,262,50,4,-180.12833714674474,368.2566742934895,382.53005230853387,7.572895277207392,10.105407255304586,parametric_extrapolation
merged,merged__site_added,site_added,Site-added,age_s + sex_num + site,site_adjusted,no_age_sex_interaction,loglogistic,flexsurv,llogis,non_cure,merged__site_added__loglogistic,loglogistic,2,1,parametric_tail_extrapolator,Stage 5,apparent,none,days_followup,time_year,status_num == 1,"status_num %in% c(0, 2)",anchor_risk_year_2,2,TRUE,0,NA,262,50,5,-175.88375927446987,361.76751854893973,379.6092410677452,7.572895277207392,10.105407255304586,parametric_extrapolation
merged,merged__site_added,site_added,Site-added,age_s + sex_num + site,site_adjusted,no_age_sex_interaction,lognormal,flexsurv,lnorm,non_cure,merged__site_added__lognormal,lognormal,2,1,parametric_tail_extrapolator,Stage 5,apparent,none,days_followup,time_year,status_num == 1,"status_num %in% c(0, 2)",anchor_risk_year_2,2,TRUE,0,NA,262,50,5,-175.5874884630797,361.1749769261594,379.01669944496484,7.572895277207392,10.105407255304586,parametric_extrapolation
merged,merged__site_added,site_added,Site-added,age_s + sex_num + site,site_adjusted,no_age_sex_interaction,weibull,flexsurv,weibull,non_cure,merged__site_added__weibull,weibull,2,1,parametric_tail_extrapolator,Stage 5,apparent,none,days_followup,time_year,status_num == 1,"status_num %in% c(0, 2)",anchor_risk_year_2,2,TRUE,0,NA,262,50,5,-175.89439266937103,361.78878533874206,379.6305078575475,7.572895277207392,10.105407255304586,parametric_extrapolation
merged,merged__site_interaction,site_interaction,Site + interaction,age_s + sex_num + age_s:sex_num + site,site_adjusted,age_sex_interaction,coxph,survival,NA,non_cure,merged__site_interaction__coxph,coxph,2,0,observed_window_comparator,Stage 5,apparent,none,days_followup,time_year,status_num == 1,"status_num %in% c(0, 2)",anchor_risk_year_2,2,TRUE,0,NA,262,50,4,-247.1841653716094,502.3683307432188,516.6417087582631,7.572895277207392,10.105407255304586,baseline_carried_forward_after_last_event
merged,merged__site_interaction,site_interaction,Site + interaction,age_s + sex_num + age_s:sex_num + site,site_adjusted,age_sex_interaction,exponential,flexsurv,exp,non_cure,merged__site_interaction__exponential,exponential,2,1,parametric_tail_extrapolator,Stage 5,apparent,none,days_followup,time_year,status_num == 1,"status_num %in% c(0, 2)",anchor_risk_year_2,2,TRUE,0,NA,262,50,5,-179.76678321929197,369.53356643858393,387.37528895738944,7.572895277207392,10.105407255304586,parametric_extrapolation
merged,merged__site_interaction,site_interaction,Site + interaction,age_s + sex_num + age_s:sex_num + site,site_adjusted,age_sex_interaction,loglogistic,flexsurv,llogis,non_cure,merged__site_interaction__loglogistic,loglogistic,2,1,parametric_tail_extrapolator,Stage 5,apparent,none,days_followup,time_year,status_num == 1,"status_num %in% c(0, 2)",anchor_risk_year_2,2,TRUE,0,NA,262,50,6,-175.44826493103312,362.89652986206625,384.3065968846328,7.572895277207392,10.105407255304586,parametric_extrapolation
merged,merged__site_interaction,site_interaction,Site + interaction,age_s + sex_num + age_s:sex_num + site,site_adjusted,age_sex_interaction,lognormal,flexsurv,lnorm,non_cure,merged__site_interaction__lognormal,lognormal,2,1,parametric_tail_extrapolator,Stage 5,apparent,none,days_followup,time_year,status_num == 1,"status_num %in% c(0, 2)",anchor_risk_year_2,2,TRUE,0,NA,262,50,6,-175.2072970031605,362.414594006321,383.8246610288876,7.572895277207392,10.105407255304586,parametric_extrapolation
merged,merged__site_interaction,site_interaction,Site + interaction,age_s + sex_num + age_s:sex_num + site,site_adjusted,age_sex_interaction,weibull,flexsurv,weibull,non_cure,merged__site_interaction__weibull,weibull,2,1,parametric_tail_extrapolator,Stage 5,apparent,none,days_followup,time_year,status_num == 1,"status_num %in% c(0, 2)",anchor_risk_year_2,2,TRUE,0,NA,262,50,6,-175.4979103357509,362.9958206715018,384.4058876940684,7.572895277207392,10.105407255304586,parametric_extrapolation
