stage,validation_level,optimism_correction_method,dataset,model_class,model_family,model_id,strategy_family,formula_id,formula_name,formula_label,site_branch,interaction_branch,anchor_horizon_year,tail_extrapolation_capable_flag,extrapolation_role,horizon_id,horizon_year,horizon_label,interpretation_tier,primary_supported_flag,interpretation_note,calibration_target,mean_calibration_reference,mean_predicted_risk,mean_calibration_difference,calibration_intercept_offset,calibration_intercept_free,calibration_slope,calibration_known_n,calibration_case_weight,calibration_nonevent_weight,binary_outcome_support_flag,calibration_minimum_n_flag,calibration_support_flag,calibration_fit_success_flag,calibration_offset_converged_flag,calibration_slope_converged_flag,calibration_offset_boundary_flag,calibration_slope_boundary_flag,calibration_regression_suppressed_flag,observed_case_support_flag,observed_nonevent_support_flag,observed_horizon_information_flag,partial_binary_outcome_support_flag,beyond_last_event_flag,beyond_last_followup_flag,descriptive_projection_flag,horizon_data_status,descriptive_value_status,calibration_failure_reason,calibration_offset_message,calibration_slope_message
Stage 5,apparent,none,PNU,non_cure,exponential,PNU__base__exponential,exponential,PNU__base,base,Base,site_free,no_age_sex_interaction,1,1,parametric_tail_extrapolator,year_1,1,Year 1,primary-supported,TRUE,Common comparison horizon retained for cross-model comparability.,IPCW fixed-horizon binary outcome,KM observed risk at horizon,0.2130032387690216,-0.04314498004368139,-0.1793721452138893,-0.28282970611775377,0.9228870591898958,36,9.172345971168374,44.82765402883167,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,binary_outcome_supported,supported_fixed_horizon_estimation,none,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Stage 5,apparent,none,PNU,non_cure,exponential,PNU__base__exponential,exponential,PNU__base,base,Base,site_free,no_age_sex_interaction,1,1,parametric_tail_extrapolator,year_2,2,Year 2,sensitivity,FALSE,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,IPCW fixed-horizon binary outcome,KM observed risk at horizon,0.37322354051225015,-0.07440462359694855,-0.13823683149053567,2.619742741917023,4.669072262905652,13,16.136221513426296,37.863778486573715,1,1,1,1,1,1,0,0,0,1,1,1,0,1,0,0,binary_outcome_supported,supported_fixed_horizon_estimation,none,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Stage 5,apparent,none,PNU,non_cure,exponential,PNU__base__exponential,exponential,PNU__base,base,Base,site_free,no_age_sex_interaction,1,1,parametric_tail_extrapolator,year_3,3,Year 3,projection,FALSE,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,IPCW fixed-horizon binary outcome,KM observed risk at horizon,0.4955569668610033,-0.1967380499457017,NA,NA,NA,12,16.136221513426296,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,event_only_partial_support,projection_beyond_last_followup,binary_outcome_not_supported; projection_beyond_last_followup; offset_model_not_converged; slope_model_not_converged,NA,NA
Stage 5,apparent,none,PNU,non_cure,exponential,PNU__base__exponential,exponential,PNU__base,base,Base,site_free,no_age_sex_interaction,1,1,parametric_tail_extrapolator,year_4,4,Year 4,projection,FALSE,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,IPCW fixed-horizon binary outcome,KM observed risk at horizon,0.5902435464484802,-0.2914246295331786,NA,NA,NA,12,16.136221513426296,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,event_only_partial_support,projection_beyond_last_followup,binary_outcome_not_supported; projection_beyond_last_followup; offset_model_not_converged; slope_model_not_converged,NA,NA
Stage 5,apparent,none,PNU,non_cure,exponential,PNU__base__exponential,exponential,PNU__base,base,Base,site_free,no_age_sex_interaction,1,1,parametric_tail_extrapolator,year_5,5,Year 5,projection,FALSE,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,IPCW fixed-horizon binary outcome,KM observed risk at horizon,0.6644412744765117,-0.3656223575612101,NA,NA,NA,12,16.136221513426296,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,event_only_partial_support,projection_beyond_last_followup,binary_outcome_not_supported; projection_beyond_last_followup; offset_model_not_converged; slope_model_not_converged,NA,NA
Stage 5,apparent,none,PNU,non_cure,exponential,PNU__base__exponential,exponential,PNU__base,base,Base,site_free,no_age_sex_interaction,1,1,parametric_tail_extrapolator,year_6,6,Year 6,projection,FALSE,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,IPCW fixed-horizon binary outcome,KM observed risk at horizon,0.7232347057972469,-0.4244157888819453,NA,NA,NA,12,16.136221513426296,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,event_only_partial_support,projection_beyond_last_followup,binary_outcome_not_supported; projection_beyond_last_followup; offset_model_not_converged; slope_model_not_converged,NA,NA
Stage 5,apparent,none,PNU,non_cure,exponential,PNU__base__exponential,exponential,PNU__base,base,Base,site_free,no_age_sex_interaction,1,1,parametric_tail_extrapolator,year_7,7,Year 7,projection,FALSE,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,IPCW fixed-horizon binary outcome,KM observed risk at horizon,0.7702911168658072,-0.4714721999505056,NA,NA,NA,12,16.136221513426296,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,event_only_partial_support,projection_beyond_last_followup,binary_outcome_not_supported; projection_beyond_last_followup; offset_model_not_converged; slope_model_not_converged,NA,NA
Stage 5,apparent,none,PNU,non_cure,exponential,PNU__base__exponential,exponential,PNU__base,base,Base,site_free,no_age_sex_interaction,1,1,parametric_tail_extrapolator,year_8,8,Year 8,projection,FALSE,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,IPCW fixed-horizon binary outcome,KM observed risk at horizon,0.8082939637438432,-0.5094750468285416,NA,NA,NA,12,16.136221513426296,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,event_only_partial_support,projection_beyond_last_followup,binary_outcome_not_supported; projection_beyond_last_followup; offset_model_not_converged; slope_model_not_converged,NA,NA
Stage 5,apparent,none,PNU,non_cure,exponential,PNU__base__exponential,exponential,PNU__base,base,Base,site_free,no_age_sex_interaction,1,1,parametric_tail_extrapolator,year_9,9,Year 9,projection,FALSE,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,IPCW fixed-horizon binary outcome,KM observed risk at horizon,0.8392335989089679,-0.5404146819936663,NA,NA,NA,12,16.136221513426296,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,event_only_partial_support,projection_beyond_last_followup,binary_outcome_not_supported; projection_beyond_last_followup; offset_model_not_converged; slope_model_not_converged,NA,NA
Stage 5,apparent,none,PNU,non_cure,exponential,PNU__base__exponential,exponential,PNU__base,base,Base,site_free,no_age_sex_interaction,1,1,parametric_tail_extrapolator,year_10,10,Year 10,projection,FALSE,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,IPCW fixed-horizon binary outcome,KM observed risk at horizon,0.8646051640108495,-0.5657862470955479,NA,NA,NA,12,16.136221513426296,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,event_only_partial_support,projection_beyond_last_followup,binary_outcome_not_supported; projection_beyond_last_followup; offset_model_not_converged; slope_model_not_converged,NA,NA
Stage 5,apparent,none,PNU,non_cure,loglogistic,PNU__base__loglogistic,loglogistic,PNU__base,base,Base,site_free,no_age_sex_interaction,1,1,parametric_tail_extrapolator,year_1,1,Year 1,primary-supported,TRUE,Common comparison horizon retained for cross-model comparability.,IPCW fixed-horizon binary outcome,KM observed risk at horizon,0.21993905628458202,-0.0500807975592418,-0.26395823693254505,-0.10905634578612283,1.1226356816823109,36,9.172345971168374,44.82765402883167,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,binary_outcome_supported,supported_fixed_horizon_estimation,none,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Stage 5,apparent,none,PNU,non_cure,loglogistic,PNU__base__loglogistic,loglogistic,PNU__base,base,Base,site_free,no_age_sex_interaction,1,1,parametric_tail_extrapolator,year_2,2,Year 2,sensitivity,FALSE,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,IPCW fixed-horizon binary outcome,KM observed risk at horizon,0.32013659779378845,-0.021317680878486844,0.12351430111026783,5.758388677071859,6.597830585287053,13,16.136221513426296,37.863778486573715,1,1,1,1,1,1,0,0,0,1,1,1,0,1,0,0,binary_outcome_supported,supported_fixed_horizon_estimation,none,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Stage 5,apparent,none,PNU,non_cure,loglogistic,PNU__base__loglogistic,loglogistic,PNU__base,base,Base,site_free,no_age_sex_interaction,1,1,parametric_tail_extrapolator,year_3,3,Year 3,projection,FALSE,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,IPCW fixed-horizon binary outcome,KM observed risk at horizon,0.38821433531936245,-0.08939541840406084,NA,NA,NA,12,16.136221513426296,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,event_only_partial_support,projection_beyond_last_followup,binary_outcome_not_supported; projection_beyond_last_followup; offset_model_not_converged; slope_model_not_converged,NA,NA
Stage 5,apparent,none,PNU,non_cure,loglogistic,PNU__base__loglogistic,loglogistic,PNU__base,base,Base,site_free,no_age_sex_interaction,1,1,parametric_tail_extrapolator,year_4,4,Year 4,projection,FALSE,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,IPCW fixed-horizon binary outcome,KM observed risk at horizon,0.4393841247385761,-0.14056520782327447,NA,NA,NA,12,16.136221513426296,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,event_only_partial_support,projection_beyond_last_followup,binary_outcome_not_supported; projection_beyond_last_followup; offset_model_not_converged; slope_model_not_converged,NA,NA
Stage 5,apparent,none,PNU,non_cure,loglogistic,PNU__base__loglogistic,loglogistic,PNU__base,base,Base,site_free,no_age_sex_interaction,1,1,parametric_tail_extrapolator,year_5,5,Year 5,projection,FALSE,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,IPCW fixed-horizon binary outcome,KM observed risk at horizon,0.48000583940640945,-0.18118692249110785,NA,NA,NA,12,16.136221513426296,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,event_only_partial_support,projection_beyond_last_followup,binary_outcome_not_supported; projection_beyond_last_followup; offset_model_not_converged; slope_model_not_converged,NA,NA
Stage 5,apparent,none,PNU,non_cure,loglogistic,PNU__base__loglogistic,loglogistic,PNU__base,base,Base,site_free,no_age_sex_interaction,1,1,parametric_tail_extrapolator,year_6,6,Year 6,projection,FALSE,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,IPCW fixed-horizon binary outcome,KM observed risk at horizon,0.513413209934167,-0.21459429301886535,NA,NA,NA,12,16.136221513426296,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,event_only_partial_support,projection_beyond_last_followup,binary_outcome_not_supported; projection_beyond_last_followup; offset_model_not_converged; slope_model_not_converged,NA,NA
Stage 5,apparent,none,PNU,non_cure,loglogistic,PNU__base__loglogistic,loglogistic,PNU__base,base,Base,site_free,no_age_sex_interaction,1,1,parametric_tail_extrapolator,year_7,7,Year 7,projection,FALSE,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,IPCW fixed-horizon binary outcome,KM observed risk at horizon,0.541584658077408,-0.24276574116210636,NA,NA,NA,12,16.136221513426296,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,event_only_partial_support,projection_beyond_last_followup,binary_outcome_not_supported; projection_beyond_last_followup; offset_model_not_converged; slope_model_not_converged,NA,NA
Stage 5,apparent,none,PNU,non_cure,loglogistic,PNU__base__loglogistic,loglogistic,PNU__base,base,Base,site_free,no_age_sex_interaction,1,1,parametric_tail_extrapolator,year_8,8,Year 8,projection,FALSE,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,IPCW fixed-horizon binary outcome,KM observed risk at horizon,0.56579303952114,-0.2669741226058384,NA,NA,NA,12,16.136221513426296,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,event_only_partial_support,projection_beyond_last_followup,binary_outcome_not_supported; projection_beyond_last_followup; offset_model_not_converged; slope_model_not_converged,NA,NA
Stage 5,apparent,none,PNU,non_cure,loglogistic,PNU__base__loglogistic,loglogistic,PNU__base,base,Base,site_free,no_age_sex_interaction,1,1,parametric_tail_extrapolator,year_9,9,Year 9,projection,FALSE,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,IPCW fixed-horizon binary outcome,KM observed risk at horizon,0.5869057087932206,-0.28808679187791897,NA,NA,NA,12,16.136221513426296,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,event_only_partial_support,projection_beyond_last_followup,binary_outcome_not_supported; projection_beyond_last_followup; offset_model_not_converged; slope_model_not_converged,NA,NA
Stage 5,apparent,none,PNU,non_cure,loglogistic,PNU__base__loglogistic,loglogistic,PNU__base,base,Base,site_free,no_age_sex_interaction,1,1,parametric_tail_extrapolator,year_10,10,Year 10,projection,FALSE,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,IPCW fixed-horizon binary outcome,KM observed risk at horizon,0.6055398471333985,-0.3067209302180969,NA,NA,NA,12,16.136221513426296,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,event_only_partial_support,projection_beyond_last_followup,binary_outcome_not_supported; projection_beyond_last_followup; offset_model_not_converged; slope_model_not_converged,NA,NA
Stage 5,apparent,none,PNU,non_cure,lognormal,PNU__base__lognormal,lognormal,PNU__base,base,Base,site_free,no_age_sex_interaction,1,1,parametric_tail_extrapolator,year_1,1,Year 1,primary-supported,TRUE,Common comparison horizon retained for cross-model comparability.,IPCW fixed-horizon binary outcome,KM observed risk at horizon,0.2228867566745158,-0.05302849794917558,-0.30299133883560103,-0.1012659577223562,1.1637659472727595,36,9.172345971168374,44.82765402883167,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,binary_outcome_supported,supported_fixed_horizon_estimation,none,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Stage 5,apparent,none,PNU,non_cure,lognormal,PNU__base__lognormal,lognormal,PNU__base,base,Base,site_free,no_age_sex_interaction,1,1,parametric_tail_extrapolator,year_2,2,Year 2,sensitivity,FALSE,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,IPCW fixed-horizon binary outcome,KM observed risk at horizon,0.31160279534392743,-0.012783878428625828,NA,NA,NA,13,16.136221513426296,37.863778486573715,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0,0,binary_outcome_supported,supported_fixed_horizon_estimation,slope_boundary,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
Stage 5,apparent,none,PNU,non_cure,lognormal,PNU__base__lognormal,lognormal,PNU__base,base,Base,site_free,no_age_sex_interaction,1,1,parametric_tail_extrapolator,year_3,3,Year 3,projection,FALSE,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,IPCW fixed-horizon binary outcome,KM observed risk at horizon,0.36968031247353605,-0.07086139555823445,NA,NA,NA,12,16.136221513426296,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,event_only_partial_support,projection_beyond_last_followup,binary_outcome_not_supported; projection_beyond_last_followup; offset_model_not_converged; slope_model_not_converged,NA,NA
Stage 5,apparent,none,PNU,non_cure,lognormal,PNU__base__lognormal,lognormal,PNU__base,base,Base,site_free,no_age_sex_interaction,1,1,parametric_tail_extrapolator,year_4,4,Year 4,projection,FALSE,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,IPCW fixed-horizon binary outcome,KM observed risk at horizon,0.4128713417633973,-0.11405242484809569,NA,NA,NA,12,16.136221513426296,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,event_only_partial_support,projection_beyond_last_followup,binary_outcome_not_supported; projection_beyond_last_followup; offset_model_not_converged; slope_model_not_converged,NA,NA
Stage 5,apparent,none,PNU,non_cure,lognormal,PNU__base__lognormal,lognormal,PNU__base,base,Base,site_free,no_age_sex_interaction,1,1,parametric_tail_extrapolator,year_5,5,Year 5,projection,FALSE,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,IPCW fixed-horizon binary outcome,KM observed risk at horizon,0.4471457945543217,-0.14832687763902008,NA,NA,NA,12,16.136221513426296,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,event_only_partial_support,projection_beyond_last_followup,binary_outcome_not_supported; projection_beyond_last_followup; offset_model_not_converged; slope_model_not_converged,NA,NA
Stage 5,apparent,none,PNU,non_cure,lognormal,PNU__base__lognormal,lognormal,PNU__base,base,Base,site_free,no_age_sex_interaction,1,1,parametric_tail_extrapolator,year_6,6,Year 6,projection,FALSE,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,IPCW fixed-horizon binary outcome,KM observed risk at horizon,0.47545868364103905,-0.17663976672573745,NA,NA,NA,12,16.136221513426296,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,event_only_partial_support,projection_beyond_last_followup,binary_outcome_not_supported; projection_beyond_last_followup; offset_model_not_converged; slope_model_not_converged,NA,NA
Stage 5,apparent,none,PNU,non_cure,lognormal,PNU__base__lognormal,lognormal,PNU__base,base,Base,site_free,no_age_sex_interaction,1,1,parametric_tail_extrapolator,year_7,7,Year 7,projection,FALSE,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,IPCW fixed-horizon binary outcome,KM observed risk at horizon,0.4995001185097727,-0.20068120159447111,NA,NA,NA,12,16.136221513426296,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,event_only_partial_support,projection_beyond_last_followup,binary_outcome_not_supported; projection_beyond_last_followup; offset_model_not_converged; slope_model_not_converged,NA,NA
Stage 5,apparent,none,PNU,non_cure,lognormal,PNU__base__lognormal,lognormal,PNU__base,base,Base,site_free,no_age_sex_interaction,1,1,parametric_tail_extrapolator,year_8,8,Year 8,projection,FALSE,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,IPCW fixed-horizon binary outcome,KM observed risk at horizon,0.5203306682747441,-0.22151175135944245,NA,NA,NA,12,16.136221513426296,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,event_only_partial_support,projection_beyond_last_followup,binary_outcome_not_supported; projection_beyond_last_followup; offset_model_not_converged; slope_model_not_converged,NA,NA
Stage 5,apparent,none,PNU,non_cure,lognormal,PNU__base__lognormal,lognormal,PNU__base,base,Base,site_free,no_age_sex_interaction,1,1,parametric_tail_extrapolator,year_9,9,Year 9,projection,FALSE,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,IPCW fixed-horizon binary outcome,KM observed risk at horizon,0.5386606601633402,-0.23984174324803864,NA,NA,NA,12,16.136221513426296,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,event_only_partial_support,projection_beyond_last_followup,binary_outcome_not_supported; projection_beyond_last_followup; offset_model_not_converged; slope_model_not_converged,NA,NA
Stage 5,apparent,none,PNU,non_cure,lognormal,PNU__base__lognormal,lognormal,PNU__base,base,Base,site_free,no_age_sex_interaction,1,1,parametric_tail_extrapolator,year_10,10,Year 10,projection,FALSE,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,IPCW fixed-horizon binary outcome,KM observed risk at horizon,0.5549894984127349,-0.2561705814974333,NA,NA,NA,12,16.136221513426296,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,event_only_partial_support,projection_beyond_last_followup,binary_outcome_not_supported; projection_beyond_last_followup; offset_model_not_converged; slope_model_not_converged,NA,NA
Stage 5,apparent,none,PNU,non_cure,weibull,PNU__base__weibull,weibull,PNU__base,base,Base,site_free,no_age_sex_interaction,1,1,parametric_tail_extrapolator,year_1,1,Year 1,primary-supported,TRUE,Common comparison horizon retained for cross-model comparability.,IPCW fixed-horizon binary outcome,KM observed risk at horizon,0.219950699519593,-0.05009244079425279,-0.23754661787312256,-0.14758607729418827,1.069724657180955,36,9.172345971168374,44.82765402883167,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,binary_outcome_supported,supported_fixed_horizon_estimation,none,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
