dataset,model_class,model_family,benchmark_id,benchmark_label,benchmark_scope,site_branch,subgroup_kind,subgroup_variable,subgroup_value_assigned,horizon_id,horizon_year,horizon_days,interpretation_tier,primary_supported_flag,interpretation_note,horizon_support_label,km_survival,km_risk,risk_assignment_rule,n_subjects_in_group
SNU,KM_benchmark,KM,km_overall,Overall KM benchmark,primary,site_free,overall,NA,overall,year_4,4,1461,secondary,FALSE,Common comparison horizon retained for cross-model comparability.,secondary,0.8165699671510509,0.1834300328489491,overall cohort-level KM risk applied to all subjects in the dataset,208
SNU,KM_benchmark,KM,km_overall,Overall KM benchmark,primary,site_free,overall,NA,overall,year_5,5,1826.25,secondary,FALSE,Common comparison horizon retained for cross-model comparability.,secondary,0.7891899090808975,0.21081009091910252,overall cohort-level KM risk applied to all subjects in the dataset,208
SNU,KM_benchmark,KM,km_overall,Overall KM benchmark,primary,site_free,overall,NA,overall,year_6,6,2191.5,projection,FALSE,Projection zone; later stages must report late-horizon instability explicitly.,projection,0.7527912130645877,0.24720878693541226,overall cohort-level KM risk applied to all subjects in the dataset,208
SNU,KM_benchmark,KM,km_overall,Overall KM benchmark,primary,site_free,overall,NA,overall,year_7,7,2556.75,projection,FALSE,Projection zone; later stages must report late-horizon instability explicitly.,projection,0.7527912130645877,0.24720878693541226,overall cohort-level KM risk applied to all subjects in the dataset,208
SNU,KM_benchmark,KM,km_overall,Overall KM benchmark,primary,site_free,overall,NA,overall,year_8,8,2922,projection,FALSE,Projection zone; later stages must report late-horizon instability explicitly.,projection,0.6735500327419994,0.3264499672580006,overall cohort-level KM risk applied to all subjects in the dataset,208
SNU,KM_benchmark,KM,km_overall,Overall KM benchmark,primary,site_free,overall,NA,overall,year_9,9,3287.25,projection,FALSE,Projection zone; later stages must report late-horizon instability explicitly.,projection,0.6735500327419994,0.3264499672580006,overall cohort-level KM risk applied to all subjects in the dataset,208
SNU,KM_benchmark,KM,km_overall,Overall KM benchmark,primary,site_free,overall,NA,overall,year_10,10,3652.5,projection,FALSE,Projection zone; later stages must report late-horizon instability explicitly.,projection,0.6735500327419994,0.3264499672580006,overall cohort-level KM risk applied to all subjects in the dataset,208
merged,KM_benchmark,KM,km_overall,Overall KM benchmark,primary,site_free,overall,NA,overall,year_1,1,365.25,primary-supported,TRUE,Common comparison horizon retained for cross-model comparability.,primary-supported,0.9084798391681723,0.09152016083182768,overall cohort-level KM risk applied to all subjects in the dataset,262
merged,KM_benchmark,KM,km_overall,Overall KM benchmark,primary,site_free,overall,NA,overall,year_2,2,730.5,primary-supported,TRUE,Common comparison horizon retained for cross-model comparability.,primary-supported,0.8465727946330851,0.1534272053669149,overall cohort-level KM risk applied to all subjects in the dataset,262
merged,KM_benchmark,KM,km_overall,Overall KM benchmark,primary,site_free,overall,NA,overall,year_3,3,1095.75,secondary,FALSE,Common comparison horizon retained for cross-model comparability.,secondary,0.8012041012263359,0.1987958987736641,overall cohort-level KM risk applied to all subjects in the dataset,262
merged,KM_benchmark,KM,km_overall,Overall KM benchmark,primary,site_free,overall,NA,overall,year_4,4,1461,secondary,FALSE,Common comparison horizon retained for cross-model comparability.,secondary,0.7872637368277092,0.21273626317229077,overall cohort-level KM risk applied to all subjects in the dataset,262
merged,KM_benchmark,KM,km_overall,Overall KM benchmark,primary,site_free,overall,NA,overall,year_5,5,1826.25,secondary,FALSE,Common comparison horizon retained for cross-model comparability.,secondary,0.76086633342323,0.23913366657677004,overall cohort-level KM risk applied to all subjects in the dataset,262
merged,KM_benchmark,KM,km_overall,Overall KM benchmark,primary,site_free,overall,NA,overall,year_6,6,2191.5,projection,FALSE,Projection zone; later stages must report late-horizon instability explicitly.,projection,0.7257739658439615,0.2742260341560385,overall cohort-level KM risk applied to all subjects in the dataset,262
merged,KM_benchmark,KM,km_overall,Overall KM benchmark,primary,site_free,overall,NA,overall,year_7,7,2556.75,projection,FALSE,Projection zone; later stages must report late-horizon instability explicitly.,projection,0.7257739658439615,0.2742260341560385,overall cohort-level KM risk applied to all subjects in the dataset,262
merged,KM_benchmark,KM,km_overall,Overall KM benchmark,primary,site_free,overall,NA,overall,year_8,8,2922,projection,FALSE,Projection zone; later stages must report late-horizon instability explicitly.,projection,0.6493767062814392,0.3506232937185608,overall cohort-level KM risk applied to all subjects in the dataset,262
merged,KM_benchmark,KM,km_overall,Overall KM benchmark,primary,site_free,overall,NA,overall,year_9,9,3287.25,projection,FALSE,Projection zone; later stages must report late-horizon instability explicitly.,projection,0.6493767062814392,0.3506232937185608,overall cohort-level KM risk applied to all subjects in the dataset,262
merged,KM_benchmark,KM,km_overall,Overall KM benchmark,primary,site_free,overall,NA,overall,year_10,10,3652.5,projection,FALSE,Projection zone; later stages must report late-horizon instability explicitly.,projection,0.6493767062814392,0.3506232937185608,overall cohort-level KM risk applied to all subjects in the dataset,262
merged,KM_benchmark,KM,km_site_adjusted,Site-adjusted KM benchmark,primary_structural,site_adjusted,site_adjusted,site,PNU,year_1,1,365.25,primary-supported,TRUE,Common comparison horizon retained for cross-model comparability.,primary-supported,0.8301417412746598,0.16985825872534022,site-specific KM risk applied by each subject's site within the merged dataset,54
merged,KM_benchmark,KM,km_site_adjusted,Site-adjusted KM benchmark,primary_structural,site_adjusted,site_adjusted,site,PNU,year_2,2,730.5,primary-supported,TRUE,Common comparison horizon retained for cross-model comparability.,primary-supported,0.7011810830846984,0.2988189169153016,site-specific KM risk applied by each subject's site within the merged dataset,54
merged,KM_benchmark,KM,km_site_adjusted,Site-adjusted KM benchmark,primary_structural,site_adjusted,site_adjusted,site,PNU,year_3,3,1095.75,secondary,FALSE,Common comparison horizon retained for cross-model comparability.,secondary,0.7011810830846984,0.2988189169153016,site-specific KM risk applied by each subject's site within the merged dataset,54
merged,KM_benchmark,KM,km_site_adjusted,Site-adjusted KM benchmark,primary_structural,site_adjusted,site_adjusted,site,PNU,year_4,4,1461,secondary,FALSE,Common comparison horizon retained for cross-model comparability.,secondary,0.7011810830846984,0.2988189169153016,site-specific KM risk applied by each subject's site within the merged dataset,54
merged,KM_benchmark,KM,km_site_adjusted,Site-adjusted KM benchmark,primary_structural,site_adjusted,site_adjusted,site,PNU,year_5,5,1826.25,secondary,FALSE,Common comparison horizon retained for cross-model comparability.,secondary,0.7011810830846984,0.2988189169153016,site-specific KM risk applied by each subject's site within the merged dataset,54
merged,KM_benchmark,KM,km_site_adjusted,Site-adjusted KM benchmark,primary_structural,site_adjusted,site_adjusted,site,PNU,year_6,6,2191.5,projection,FALSE,Projection zone; later stages must report late-horizon instability explicitly.,projection,0.7011810830846984,0.2988189169153016,site-specific KM risk applied by each subject's site within the merged dataset,54
merged,KM_benchmark,KM,km_site_adjusted,Site-adjusted KM benchmark,primary_structural,site_adjusted,site_adjusted,site,PNU,year_7,7,2556.75,projection,FALSE,Projection zone; later stages must report late-horizon instability explicitly.,projection,0.7011810830846984,0.2988189169153016,site-specific KM risk applied by each subject's site within the merged dataset,54
merged,KM_benchmark,KM,km_site_adjusted,Site-adjusted KM benchmark,primary_structural,site_adjusted,site_adjusted,site,PNU,year_8,8,2922,projection,FALSE,Projection zone; later stages must report late-horizon instability explicitly.,projection,0.7011810830846984,0.2988189169153016,site-specific KM risk applied by each subject's site within the merged dataset,54
merged,KM_benchmark,KM,km_site_adjusted,Site-adjusted KM benchmark,primary_structural,site_adjusted,site_adjusted,site,PNU,year_9,9,3287.25,projection,FALSE,Projection zone; later stages must report late-horizon instability explicitly.,projection,0.7011810830846984,0.2988189169153016,site-specific KM risk applied by each subject's site within the merged dataset,54
merged,KM_benchmark,KM,km_site_adjusted,Site-adjusted KM benchmark,primary_structural,site_adjusted,site_adjusted,site,PNU,year_10,10,3652.5,projection,FALSE,Projection zone; later stages must report late-horizon instability explicitly.,projection,0.7011810830846984,0.2988189169153016,site-specific KM risk applied by each subject's site within the merged dataset,54
merged,KM_benchmark,KM,km_site_adjusted,Site-adjusted KM benchmark,primary_structural,site_adjusted,site_adjusted,site,SNU,year_1,1,365.25,primary-supported,TRUE,Common comparison horizon retained for cross-model comparability.,primary-supported,0.927245975381002,0.07275402461899805,site-specific KM risk applied by each subject's site within the merged dataset,208
merged,KM_benchmark,KM,km_site_adjusted,Site-adjusted KM benchmark,primary_structural,site_adjusted,site_adjusted,site,SNU,year_2,2,730.5,primary-supported,TRUE,Common comparison horizon retained for cross-model comparability.,primary-supported,0.8784708917118653,0.12152910828813468,site-specific KM risk applied by each subject's site within the merged dataset,208
merged,KM_benchmark,KM,km_site_adjusted,Site-adjusted KM benchmark,primary_structural,site_adjusted,site_adjusted,site,SNU,year_3,3,1095.75,secondary,FALSE,Common comparison horizon retained for cross-model comparability.,secondary,0.8310292675945457,0.16897073240545435,site-specific KM risk applied by each subject's site within the merged dataset,208
merged,KM_benchmark,KM,km_site_adjusted,Site-adjusted KM benchmark,primary_structural,site_adjusted,site_adjusted,site,SNU,year_4,4,1461,secondary,FALSE,Common comparison horizon retained for cross-model comparability.,secondary,0.8165699671510509,0.1834300328489491,site-specific KM risk applied by each subject's site within the merged dataset,208
merged,KM_benchmark,KM,km_site_adjusted,Site-adjusted KM benchmark,primary_structural,site_adjusted,site_adjusted,site,SNU,year_5,5,1826.25,secondary,FALSE,Common comparison horizon retained for cross-model comparability.,secondary,0.7891899090808975,0.21081009091910252,site-specific KM risk applied by each subject's site within the merged dataset,208
merged,KM_benchmark,KM,km_site_adjusted,Site-adjusted KM benchmark,primary_structural,site_adjusted,site_adjusted,site,SNU,year_6,6,2191.5,projection,FALSE,Projection zone; later stages must report late-horizon instability explicitly.,projection,0.7527912130645877,0.24720878693541226,site-specific KM risk applied by each subject's site within the merged dataset,208
merged,KM_benchmark,KM,km_site_adjusted,Site-adjusted KM benchmark,primary_structural,site_adjusted,site_adjusted,site,SNU,year_7,7,2556.75,projection,FALSE,Projection zone; later stages must report late-horizon instability explicitly.,projection,0.7527912130645877,0.24720878693541226,site-specific KM risk applied by each subject's site within the merged dataset,208
merged,KM_benchmark,KM,km_site_adjusted,Site-adjusted KM benchmark,primary_structural,site_adjusted,site_adjusted,site,SNU,year_8,8,2922,projection,FALSE,Projection zone; later stages must report late-horizon instability explicitly.,projection,0.6735500327419994,0.3264499672580006,site-specific KM risk applied by each subject's site within the merged dataset,208
merged,KM_benchmark,KM,km_site_adjusted,Site-adjusted KM benchmark,primary_structural,site_adjusted,site_adjusted,site,SNU,year_9,9,3287.25,projection,FALSE,Projection zone; later stages must report late-horizon instability explicitly.,projection,0.6735500327419994,0.3264499672580006,site-specific KM risk applied by each subject's site within the merged dataset,208
merged,KM_benchmark,KM,km_site_adjusted,Site-adjusted KM benchmark,primary_structural,site_adjusted,site_adjusted,site,SNU,year_10,10,3652.5,projection,FALSE,Projection zone; later stages must report late-horizon instability explicitly.,projection,0.6735500327419994,0.3264499672580006,site-specific KM risk applied by each subject's site within the merged dataset,208
