metadata_group,metadata_name,metadata_value
comparison,transition_events_total_rule,transition_events_total stores within-horizon or within-interval observed events only; horizon rows beyond observed follow-up leave it blank rather than reusing all-follow-up totals.
comparison,count_alignment_validation_rule,Stage 4 stops if supported or late-tail comparison tables do not align their count fields with risk_trajectory or piecewise_interval_support.
comparison,reporting_alignment_validation_rule,"Stage 4 stops if bootstrap-instability, suppression, and plotting-status flags are not synchronized across supported, late-tail, and piecewise outputs."
hazard_band,partial_band_rule,Hazard-band summaries retain nominal bands but flag and quantify partial observation when follow-up ends within a band.
hazard_band,partial_band_reporting_rule,"For partially observed hazard bands, crude hazard uses observed person-time only and conditional_interval_risk is reserved for fully observed bands; observed-portion risk is exported separately."
outputs,save_folder_rule,Write all Stage 4 outputs into one export_path folder without creating extra subfolders.
outputs,site_interpretation_rule,"Interpret site as a proxy for broader treatment context, care pathway, selection, or follow-up structure rather than a clean treatment effect."
outputs,remission_note,The main Stage 4 analysis treats remission as censoring; remission-sensitive competing-risk or multi-state analysis belongs to a later dedicated sensitivity stage.
outputs,manifest_portability_rule,stage4_export_manifest.csv stores both absolute file_path and portable_file_reference so the manifest remains readable after path relocation.
outputs,stage4_revision_note,"This revised Stage 4 code keeps the original count-semantics fixes and additionally tags bootstrap-unstable short-horizon rows for reporting and plotting, while adding portable file references to the metadata and manifest outputs."
