dataset,subgroup_kind,subgroup_value,group_id,panel_label,analysis_structure,summary_view,horizon_year,interpretation_tier,interpretation_note,support_tier_standard,support_tier,support_display_group,support_display_label,horizon_evidence_class,claim_restriction_flag,n_total,eligible_n,eligibility_fraction,risk_set_n,risk_set_fraction,cumulative_transition_n,cumulative_remission_n,cumulative_right_censoring_n,cumulative_censoring_n,cumulative_eventlike_n,observed_person_time_year,percentage_method,CCI,SPT,cumulative_transition_prop,cumulative_remission_prop,cumulative_right_censoring_prop,cumulative_censoring_prop,cumulative_eventlike_prop,instability_marker,total_eligible_n,eligible_site_count,dominant_site,dominant_site_n,dominant_site_fraction,site_dominance_status,site_dominance_note,site_dominance_warning_flag,site_dominance_warning_note,completeness_plot_status,completeness_plot_note,completeness_plot_alpha,completeness_plot_masked,percentage_method_plot,CCI_plot,SPT_plot,preferred_for_reporting,reporting_priority,reporting_preference_note
PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,single_site,transition_only,1,primary-supported,Primary supported horizon with comparatively direct follow-up support.,primary_supported,primary_supported,primary_supported,Primary supported,directly_observed_data_supported,primary_claim_allowed,54,47,0.8703703703703703,28,0.5185185185185185,8,3,15,18,8,35.268993839835716,0.7659574468085106,0.8619749410328039,0.8798403891243243,0.14814814814814814,0.05555555555555555,0.2777777777777778,0.3333333333333333,0.14814814814814814,stable_enough,NA,NA,NA,NA,NA,not_applicable,Not applicable outside merged overall/sex completeness summaries.,FALSE,Merged site-dominance warning is not applicable outside merged overall/sex summaries.,stable,Displayed without masking.,1,FALSE,0.7659574468085106,0.8619749410328039,0.8798403891243243,TRUE,1,Only available completeness structure for this panel; acceptable for reporting.
PNU,sex,Female,PNU__sex__Female,PNU | Sex = Female,single_site,transition_only,2,sensitivity,Sensitivity horizon for PNU; partly model-dependent and not for primary claims.,sensitivity,sensitivity,secondary_or_sensitivity,Secondary / sensitivity,partly_model_dependent,secondary_or_sensitivity_only,26,14,0.5384615384615384,0,0,7,5,14,19,7,16.24366872005476,0.35714285714285715,0.7644140952135542,0.8212085655617484,0.2692307692307692,0.19230769230769232,0.5384615384615384,0.7307692307692307,0.2692307692307692,no_risk_set,NA,NA,NA,NA,NA,not_applicable,Not applicable outside merged overall/sex completeness summaries.,FALSE,Merged site-dominance warning is not applicable outside merged overall/sex summaries.,masked_no_risk_set,Masked in completeness plot because the risk set is zero at this horizon.,0,TRUE,NA,NA,NA,TRUE,1,Only available completeness structure for this panel; acceptable for reporting.
PNU,sex,Female,PNU__sex__Female,PNU | Sex = Female,single_site,transition_only,3,projection,Projection-dominant horizon; mostly extrapolated and not eligible for primary claims.,projection,projection,projection,Projection,mostly_extrapolated,projection_only,26,4,0.15384615384615385,0,0,7,5,14,19,7,3.6495550992470913,0.5,0.49710982658959546,0.6923340177960301,0.2692307692307692,0.19230769230769232,0.5384615384615384,0.7307692307692307,0.2692307692307692,no_risk_set,NA,NA,NA,NA,NA,not_applicable,Not applicable outside merged overall/sex completeness summaries.,FALSE,Merged site-dominance warning is not applicable outside merged overall/sex summaries.,masked_no_risk_set,Masked in completeness plot because the risk set is zero at this horizon.,0,TRUE,NA,NA,NA,TRUE,1,Only available completeness structure for this panel; acceptable for reporting.
PNU,sex,Female,PNU__sex__Female,PNU | Sex = Female,single_site,transition_only,4,projection,Projection-dominant horizon; mostly extrapolated and not eligible for primary claims.,projection,projection,projection,Projection,mostly_extrapolated,projection_only,26,0,0,0,0,7,5,14,19,7,NA,NA,NA,NA,0.2692307692307692,0.19230769230769232,0.5384615384615384,0.7307692307692307,0.2692307692307692,no_eligible_subjects,NA,NA,NA,NA,NA,not_applicable,Not applicable outside merged overall/sex completeness summaries.,FALSE,Merged site-dominance warning is not applicable outside merged overall/sex summaries.,masked_no_eligible,Masked in completeness plot because no eligible subjects remain for this horizon.,0,TRUE,NA,NA,NA,TRUE,1,Only available completeness structure for this panel; acceptable for reporting.
PNU,sex,Female,PNU__sex__Female,PNU | Sex = Female,single_site,transition_only,5,projection,Projection-dominant horizon; mostly extrapolated and not eligible for primary claims.,projection,projection,projection,Projection,mostly_extrapolated,projection_only,26,0,0,0,0,7,5,14,19,7,NA,NA,NA,NA,0.2692307692307692,0.19230769230769232,0.5384615384615384,0.7307692307692307,0.2692307692307692,no_eligible_subjects,NA,NA,NA,NA,NA,not_applicable,Not applicable outside merged overall/sex completeness summaries.,FALSE,Merged site-dominance warning is not applicable outside merged overall/sex summaries.,masked_no_eligible,Masked in completeness plot because no eligible subjects remain for this horizon.,0,TRUE,NA,NA,NA,TRUE,1,Only available completeness structure for this panel; acceptable for reporting.
PNU,sex,Female,PNU__sex__Female,PNU | Sex = Female,single_site,transition_only,6,projection,Projection-dominant horizon; mostly extrapolated and not eligible for primary claims.,projection,projection,projection,Projection,mostly_extrapolated,projection_only,26,0,0,0,0,7,5,14,19,7,NA,NA,NA,NA,0.2692307692307692,0.19230769230769232,0.5384615384615384,0.7307692307692307,0.2692307692307692,no_eligible_subjects,NA,NA,NA,NA,NA,not_applicable,Not applicable outside merged overall/sex completeness summaries.,FALSE,Merged site-dominance warning is not applicable outside merged overall/sex summaries.,masked_no_eligible,Masked in completeness plot because no eligible subjects remain for this horizon.,0,TRUE,NA,NA,NA,TRUE,1,Only available completeness structure for this panel; acceptable for reporting.
PNU,sex,Female,PNU__sex__Female,PNU | Sex = Female,single_site,transition_only,7,projection,Projection-dominant horizon; mostly extrapolated and not eligible for primary claims.,projection,projection,projection,Projection,mostly_extrapolated,projection_only,26,0,0,0,0,7,5,14,19,7,NA,NA,NA,NA,0.2692307692307692,0.19230769230769232,0.5384615384615384,0.7307692307692307,0.2692307692307692,no_eligible_subjects,NA,NA,NA,NA,NA,not_applicable,Not applicable outside merged overall/sex completeness summaries.,FALSE,Merged site-dominance warning is not applicable outside merged overall/sex summaries.,masked_no_eligible,Masked in completeness plot because no eligible subjects remain for this horizon.,0,TRUE,NA,NA,NA,TRUE,1,Only available completeness structure for this panel; acceptable for reporting.
PNU,sex,Female,PNU__sex__Female,PNU | Sex = Female,single_site,transition_only,8,projection,Projection-dominant horizon; mostly extrapolated and not eligible for primary claims.,projection,projection,projection,Projection,mostly_extrapolated,projection_only,26,0,0,0,0,7,5,14,19,7,NA,NA,NA,NA,0.2692307692307692,0.19230769230769232,0.5384615384615384,0.7307692307692307,0.2692307692307692,no_eligible_subjects,NA,NA,NA,NA,NA,not_applicable,Not applicable outside merged overall/sex completeness summaries.,FALSE,Merged site-dominance warning is not applicable outside merged overall/sex summaries.,masked_no_eligible,Masked in completeness plot because no eligible subjects remain for this horizon.,0,TRUE,NA,NA,NA,TRUE,1,Only available completeness structure for this panel; acceptable for reporting.
PNU,sex,Female,PNU__sex__Female,PNU | Sex = Female,single_site,transition_only,9,projection,Projection-dominant horizon; mostly extrapolated and not eligible for primary claims.,projection,projection,projection,Projection,mostly_extrapolated,projection_only,26,0,0,0,0,7,5,14,19,7,NA,NA,NA,NA,0.2692307692307692,0.19230769230769232,0.5384615384615384,0.7307692307692307,0.2692307692307692,no_eligible_subjects,NA,NA,NA,NA,NA,not_applicable,Not applicable outside merged overall/sex completeness summaries.,FALSE,Merged site-dominance warning is not applicable outside merged overall/sex summaries.,masked_no_eligible,Masked in completeness plot because no eligible subjects remain for this horizon.,0,TRUE,NA,NA,NA,TRUE,1,Only available completeness structure for this panel; acceptable for reporting.
PNU,sex,Female,PNU__sex__Female,PNU | Sex = Female,single_site,transition_only,10,projection,Projection-dominant horizon; mostly extrapolated and not eligible for primary claims.,projection,projection,projection,Projection,mostly_extrapolated,projection_only,26,0,0,0,0,7,5,14,19,7,NA,NA,NA,NA,0.2692307692307692,0.19230769230769232,0.5384615384615384,0.7307692307692307,0.2692307692307692,no_eligible_subjects,NA,NA,NA,NA,NA,not_applicable,Not applicable outside merged overall/sex completeness summaries.,FALSE,Merged site-dominance warning is not applicable outside merged overall/sex summaries.,masked_no_eligible,Masked in completeness plot because no eligible subjects remain for this horizon.,0,TRUE,NA,NA,NA,TRUE,1,Only available completeness structure for this panel; acceptable for reporting.
PNU,sex,Male,PNU__sex__Male,PNU | Sex = Male,single_site,transition_only,1,primary-supported,Primary supported horizon with comparatively direct follow-up support.,primary_supported,primary_supported,primary_supported,Primary supported,directly_observed_data_supported,primary_claim_allowed,28,25,0.8928571428571429,17,0.6071428571428571,3,2,6,8,3,20.140314852840522,0.8,0.8760047633224174,0.8859685147159482,0.10714285714285714,0.07142857142857142,0.21428571428571427,0.2857142857142857,0.10714285714285714,stable_enough,NA,NA,NA,NA,NA,not_applicable,Not applicable outside merged overall/sex completeness summaries.,FALSE,Merged site-dominance warning is not applicable outside merged overall/sex summaries.,stable,Displayed without masking.,1,FALSE,0.8,0.8760047633224174,0.8859685147159482,TRUE,1,Only available completeness structure for this panel; acceptable for reporting.
PNU,sex,Male,PNU__sex__Male,PNU | Sex = Male,single_site,transition_only,2,sensitivity,Sensitivity horizon for PNU; partly model-dependent and not for primary claims.,sensitivity,sensitivity,secondary_or_sensitivity,Secondary / sensitivity,partly_model_dependent,secondary_or_sensitivity_only,28,21,0.75,1,0.03571428571428571,5,7,15,22,5,30.68172484599589,0.2857142857142857,0.8677791544060709,0.8886933281183793,0.17857142857142858,0.25,0.5357142857142857,0.7857142857142857,0.17857142857142858,very_sparse,NA,NA,NA,NA,NA,not_applicable,Not applicable outside merged overall/sex completeness summaries.,FALSE,Merged site-dominance warning is not applicable outside merged overall/sex summaries.,very_sparse,Displayed with caution: very sparse risk set.,0.65,FALSE,0.2857142857142857,0.8677791544060709,0.8886933281183793,TRUE,1,Only available completeness structure for this panel; acceptable for reporting.
PNU,sex,Male,PNU__sex__Male,PNU | Sex = Male,single_site,transition_only,3,projection,Projection-dominant horizon; mostly extrapolated and not eligible for primary claims.,projection,projection,projection,Projection,mostly_extrapolated,projection_only,28,4,0.14285714285714285,0,0,5,8,15,23,5,5.587953456536619,0.5,0.7750142396050884,0.8648186173853526,0.17857142857142858,0.2857142857142857,0.5357142857142857,0.8214285714285714,0.17857142857142858,no_risk_set,NA,NA,NA,NA,NA,not_applicable,Not applicable outside merged overall/sex completeness summaries.,FALSE,Merged site-dominance warning is not applicable outside merged overall/sex summaries.,masked_no_risk_set,Masked in completeness plot because the risk set is zero at this horizon.,0,TRUE,NA,NA,NA,TRUE,1,Only available completeness structure for this panel; acceptable for reporting.
PNU,sex,Male,PNU__sex__Male,PNU | Sex = Male,single_site,transition_only,4,projection,Projection-dominant horizon; mostly extrapolated and not eligible for primary claims.,projection,projection,projection,Projection,mostly_extrapolated,projection_only,28,0,0,0,0,5,8,15,23,5,NA,NA,NA,NA,0.17857142857142858,0.2857142857142857,0.5357142857142857,0.8214285714285714,0.17857142857142858,no_eligible_subjects,NA,NA,NA,NA,NA,not_applicable,Not applicable outside merged overall/sex completeness summaries.,FALSE,Merged site-dominance warning is not applicable outside merged overall/sex summaries.,masked_no_eligible,Masked in completeness plot because no eligible subjects remain for this horizon.,0,TRUE,NA,NA,NA,TRUE,1,Only available completeness structure for this panel; acceptable for reporting.
PNU,sex,Male,PNU__sex__Male,PNU | Sex = Male,single_site,transition_only,5,projection,Projection-dominant horizon; mostly extrapolated and not eligible for primary claims.,projection,projection,projection,Projection,mostly_extrapolated,projection_only,28,0,0,0,0,5,8,15,23,5,NA,NA,NA,NA,0.17857142857142858,0.2857142857142857,0.5357142857142857,0.8214285714285714,0.17857142857142858,no_eligible_subjects,NA,NA,NA,NA,NA,not_applicable,Not applicable outside merged overall/sex completeness summaries.,FALSE,Merged site-dominance warning is not applicable outside merged overall/sex summaries.,masked_no_eligible,Masked in completeness plot because no eligible subjects remain for this horizon.,0,TRUE,NA,NA,NA,TRUE,1,Only available completeness structure for this panel; acceptable for reporting.
PNU,sex,Male,PNU__sex__Male,PNU | Sex = Male,single_site,transition_only,6,projection,Projection-dominant horizon; mostly extrapolated and not eligible for primary claims.,projection,projection,projection,Projection,mostly_extrapolated,projection_only,28,0,0,0,0,5,8,15,23,5,NA,NA,NA,NA,0.17857142857142858,0.2857142857142857,0.5357142857142857,0.8214285714285714,0.17857142857142858,no_eligible_subjects,NA,NA,NA,NA,NA,not_applicable,Not applicable outside merged overall/sex completeness summaries.,FALSE,Merged site-dominance warning is not applicable outside merged overall/sex summaries.,masked_no_eligible,Masked in completeness plot because no eligible subjects remain for this horizon.,0,TRUE,NA,NA,NA,TRUE,1,Only available completeness structure for this panel; acceptable for reporting.
PNU,sex,Male,PNU__sex__Male,PNU | Sex = Male,single_site,transition_only,7,projection,Projection-dominant horizon; mostly extrapolated and not eligible for primary claims.,projection,projection,projection,Projection,mostly_extrapolated,projection_only,28,0,0,0,0,5,8,15,23,5,NA,NA,NA,NA,0.17857142857142858,0.2857142857142857,0.5357142857142857,0.8214285714285714,0.17857142857142858,no_eligible_subjects,NA,NA,NA,NA,NA,not_applicable,Not applicable outside merged overall/sex completeness summaries.,FALSE,Merged site-dominance warning is not applicable outside merged overall/sex summaries.,masked_no_eligible,Masked in completeness plot because no eligible subjects remain for this horizon.,0,TRUE,NA,NA,NA,TRUE,1,Only available completeness structure for this panel; acceptable for reporting.
PNU,sex,Male,PNU__sex__Male,PNU | Sex = Male,single_site,transition_only,8,projection,Projection-dominant horizon; mostly extrapolated and not eligible for primary claims.,projection,projection,projection,Projection,mostly_extrapolated,projection_only,28,0,0,0,0,5,8,15,23,5,NA,NA,NA,NA,0.17857142857142858,0.2857142857142857,0.5357142857142857,0.8214285714285714,0.17857142857142858,no_eligible_subjects,NA,NA,NA,NA,NA,not_applicable,Not applicable outside merged overall/sex completeness summaries.,FALSE,Merged site-dominance warning is not applicable outside merged overall/sex summaries.,masked_no_eligible,Masked in completeness plot because no eligible subjects remain for this horizon.,0,TRUE,NA,NA,NA,TRUE,1,Only available completeness structure for this panel; acceptable for reporting.
PNU,sex,Male,PNU__sex__Male,PNU | Sex = Male,single_site,transition_only,9,projection,Projection-dominant horizon; mostly extrapolated and not eligible for primary claims.,projection,projection,projection,Projection,mostly_extrapolated,projection_only,28,0,0,0,0,5,8,15,23,5,NA,NA,NA,NA,0.17857142857142858,0.2857142857142857,0.5357142857142857,0.8214285714285714,0.17857142857142858,no_eligible_subjects,NA,NA,NA,NA,NA,not_applicable,Not applicable outside merged overall/sex completeness summaries.,FALSE,Merged site-dominance warning is not applicable outside merged overall/sex summaries.,masked_no_eligible,Masked in completeness plot because no eligible subjects remain for this horizon.,0,TRUE,NA,NA,NA,TRUE,1,Only available completeness structure for this panel; acceptable for reporting.
PNU,sex,Male,PNU__sex__Male,PNU | Sex = Male,single_site,transition_only,10,projection,Projection-dominant horizon; mostly extrapolated and not eligible for primary claims.,projection,projection,projection,Projection,mostly_extrapolated,projection_only,28,0,0,0,0,5,8,15,23,5,NA,NA,NA,NA,0.17857142857142858,0.2857142857142857,0.5357142857142857,0.8214285714285714,0.17857142857142858,no_eligible_subjects,NA,NA,NA,NA,NA,not_applicable,Not applicable outside merged overall/sex completeness summaries.,FALSE,Merged site-dominance warning is not applicable outside merged overall/sex summaries.,masked_no_eligible,Masked in completeness plot because no eligible subjects remain for this horizon.,0,TRUE,NA,NA,NA,TRUE,1,Only available completeness structure for this panel; acceptable for reporting.
SNU,overall,Overall,SNU__overall__Overall,SNU | Overall,single_site,transition_only,1,primary-supported,Primary supported horizon with comparatively direct follow-up support.,primary_supported,primary_supported,primary_supported,Primary supported,directly_observed_data_supported,primary_claim_allowed,208,191,0.9182692307692307,163,0.7836538461538461,14,0,31,31,14,170.26078028747426,0.9109947643979057,0.9256057809662724,0.9283535984461619,0.0673076923076923,0,0.14903846153846154,0.14903846153846154,0.0673076923076923,stable_enough,NA,NA,NA,NA,NA,not_applicable,Not applicable outside merged overall/sex completeness summaries.,FALSE,Merged site-dominance warning is not applicable outside merged overall/sex summaries.,stable,Displayed without masking.,1,FALSE,0.9109947643979057,0.9256057809662724,0.9283535984461619,TRUE,1,Only available completeness structure for this panel; acceptable for reporting.
SNU,overall,Overall,SNU__overall__Overall,SNU | Overall,single_site,transition_only,2,primary-supported,Primary supported horizon with comparatively direct follow-up support.,primary_supported,primary_supported,primary_supported,Primary supported,directly_observed_data_supported,primary_claim_allowed,208,175,0.8413461538461539,134,0.6442307692307693,22,0,52,52,22,294.5106091718002,0.8685714285714285,0.8950852273909228,0.9013708810012713,0.10576923076923077,0,0.25,0.25,0.10576923076923077,stable_enough,NA,NA,NA,NA,NA,not_applicable,Not applicable outside merged overall/sex completeness summaries.,FALSE,Merged site-dominance warning is not applicable outside merged overall/sex summaries.,stable,Displayed without masking.,1,FALSE,0.8685714285714285,0.8950852273909228,0.9013708810012713,TRUE,1,Only available completeness structure for this panel; acceptable for reporting.
SNU,overall,Overall,SNU__overall__Overall,SNU | Overall,single_site,transition_only,3,secondary,Secondary horizon with growing tail uncertainty; interpret with model-dependence explicitly acknowledged.,secondary,secondary,secondary_or_sensitivity,Secondary / sensitivity,partly_model_dependent,secondary_or_sensitivity_only,208,172,0.8269230769230769,117,0.5625,29,0,62,62,29,409.29431895961665,0.8255813953488372,0.8674999601052061,0.8788474497132152,0.13942307692307693,0,0.2980769230769231,0.2980769230769231,0.13942307692307693,stable_enough,NA,NA,NA,NA,NA,not_applicable,Not applicable outside merged overall/sex completeness summaries.,FALSE,Merged site-dominance warning is not applicable outside merged overall/sex summaries.,stable,Displayed without masking.,1,FALSE,0.8255813953488372,0.8674999601052061,0.8788474497132152,TRUE,1,Only available completeness structure for this panel; acceptable for reporting.
SNU,overall,Overall,SNU__overall__Overall,SNU | Overall,single_site,transition_only,4,secondary,Secondary horizon with growing tail uncertainty; interpret with model-dependence explicitly acknowledged.,secondary,secondary,secondary_or_sensitivity,Secondary / sensitivity,partly_model_dependent,secondary_or_sensitivity_only,208,162,0.7788461538461539,103,0.4951923076923077,31,0,77,77,31,485.3114305270362,0.7962962962962963,0.836009828751456,0.8530897998157863,0.14903846153846154,0,0.3701923076923077,0.3701923076923077,0.14903846153846154,stable_enough,NA,NA,NA,NA,NA,not_applicable,Not applicable outside merged overall/sex completeness summaries.,FALSE,Merged site-dominance warning is not applicable outside merged overall/sex summaries.,stable,Displayed without masking.,1,FALSE,0.7962962962962963,0.836009828751456,0.8530897998157863,TRUE,1,Only available completeness structure for this panel; acceptable for reporting.
